signal_strength,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
200,0,0,537261,1592674,638831,1027442,509460,463365,417664,754272
200,0,0,58967,547802,51336,34100,18527,80793,47000,93551
200,0,0,1567667,1585016,246241,102662,104194,386483,89180,680105
200,0,0,346001,839647,177984,194948,160261,453299,94132,580401
200,0,0,292585,248577,58207,17635,28688,214919,56871,179782
200,0,0,1382949,1733487,354628,151244,361663,316979,314436,331666
200,0,0,717208,424236,129200,72193,52983,45906,70921,138595
200,0,0,737208,340902,140340,19337,77464,221218,97690,87764
200,0,0,200032,50079,19817,40527,38015,11930,17947,38702
200,0,0,846360,717021,5466,392497,112460,376955,142811,348245
200,0,0,376773,256275,183582,62504,79016,77981,61567,487454
200,0,0,332095,1865035,714491,523485,297771,525164,301193,791321
200,0,0,142322,16382,112868,21102,39050,24613,17845,51183
200,0,0,568679,1479293,179098,690315,527191,292475,279201,844895
200,0,0,311093,548709,102564,377137,77049,68457,132092,153918
200,0,0,324524,566953,121479,82283,18899,126733,116029,212361
200,0,0,760838,332903,134483,139801,106556,143345,78545,126964
200,0,0,362132,175963,283471,70770,114136,62448,57395,158743
200,0,0,918538,1000617,972267,279098,234376,357652,174960,755218
200,0,0,791599,1063954,346889,219222,344581,364544,205399,359726
200,0,0,617164,477288,10292,73603,97088,47336,46863,226718
200,0,0,792564,332400,38141,100187,58299,51827,106415,77448
200,0,0,894167,1036339,373669,155800,234790,200188,210640,822086
200,0,0,77821,75299,22412,31904,30506,37668,20490,40269
200,0,0,1069290,423815,68931,110002,119838,91366,160916,482198
200,0,0,487343,134989,70224,140868,83636,94957,184133,175353
200,0,0,396870,385457,67564,336666,56965,70007,46192,120642
200,0,0,451102,168545,113227,142453,59787,128338,54321,119362
200,0,0,58756,32473,9160,21340,50404,12937,13638,24810
200,0,0,746557,1817815,298975,392778,397594,1283275,518191,572729
200,0,0,818593,837714,225017,291875,151217,156736,113592,456241
200,0,0,38204,72332,72962,77423,22821,24719,14937,30171
200,0,0,493025,477546,270011,89147,74099,78303,30024,151749
200,0,0,531466,360788,5283,62833,101483,75955,162014,52694
200,0,0,571321,1152987,152145,180189,55651,78805,18126,87761
200,0,0,215192,407890,86568,384123,57765,34419,87096,151590
200,0,0,567204,527754,31131,156524,57032,87681,94766,108501
200,0,0,26443,360520,102703,70381,98496,78297,78292,164762
200,0,0,688999,410361,276464,205428,56917,74906,50334,111241
200,0,0,592182,212579,44675,63322,27712,268163,30241,223292
